Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.659085415888427,19.048625465120345,4.647214760453804,4.373066660920204,20.392397201143364,19.50542701438927,4.836962644131279,4.583639889844038
50,40,19.93140022404355,19.085944497118494,4.716957175987958,4.426708462434535,20.590820310485736,19.671923325551326,4.877027919755174,4.614926773667811
35,20,19.94808529059975,19.21263882142035,4.719472419428806,4.423629024311154,20.659247415454367,19.82023053347339,4.885638629591708,4.651827718523164
35,40,20.060249562245218,19.119916094554036,4.7421565732910755,4.449206593182501,20.557307856121067,19.68493653020483,4.862806006855277,4.587427177882569
50,60,20.179869848281072,19.166279592247317,4.763175516356497,4.457789833064987,20.82409155235454,19.77905332752715,4.915919344912617,4.579741767883573
25,40,20.262629016324194,19.39030284715157,4.790314570160293,4.491647781154771,20.56355640081593,19.585401810647504,4.878147403433415,4.5506100133636345
25,20,20.298042922930783,19.389907453660186,4.7958877554348565,4.447003592022915,20.89058266190841,19.97801985889655,4.919380810033404,4.611126710267956
15,20,20.31108385621176,19.316084405934607,4.807836107421342,4.484570583882161,20.64817710686164,19.627159272662773,4.880957265589127,4.559409960616537
50,80,20.37085069809623,19.449185994654112,4.808274910031898,4.496261096165439,20.792437349221313,19.869560400683547,4.91022661670924,4.609572287786685
35,60,20.428165044204242,19.510234164172513,4.810702116142223,4.508569346202683,20.92587568326998,19.936061469133715,4.928519158387154,4.620217701707341
35,100,20.490835926035686,19.53981635809209,4.83893604378239,4.5165550592519415,20.85623369215491,19.912592122530686,4.925742009245092,4.6017730166718165
5,60,20.534418191913424,19.452805906414902,4.861243699882,4.492638045290873,20.540447702379122,19.390108730218206,4.877093539984632,4.471929941362616
25,80,20.59774373789778,19.627226490187404,4.85819384487652,4.522977799753386,20.820399579373326,19.840472747058744,4.914094763181931,4.538452219967474
15,100,20.60372422792043,19.57090636619802,4.870015816294127,4.5361287647181125,20.83148679377523,19.800515600986216,4.928104641083376,4.61458590422002
15,80,20.610054192737557,19.535205545175216,4.872522310133483,4.539581841221908,20.816293262480222,19.842960965968935,4.923465709308994,4.585679248798951
25,100,20.625936762729033,19.719578849001003,4.862055559428571,4.511252356923407,20.894669465937447,19.997951016619037,4.925364852919657,4.585592500506958
35,80,20.646227926627926,19.759170205772204,4.8534063695055965,4.521449215912152,21.07456413265804,20.03853151434847,4.955789387578021,4.604973958383468
5,100,20.669513526690256,19.676140822170453,4.886692761457196,4.520501551878738,20.70976732545792,19.590599061928717,4.898714607248496,4.554028721671469
25,60,20.687615753547995,19.834635303156144,4.870039411203164,4.513179832737782,21.037627540197047,20.204075224454538,4.95253907146093,4.600415261924299
15,40,20.72321193088747,19.82650952919996,4.877790059294477,4.564033222225116,20.899205281309204,19.939020836107098,4.930420969160982,4.58878816448879
50,100,20.73655131140647,19.901581885709344,4.86924459934294,4.538941671174253,21.229312298296406,20.272202743603074,4.986669877820329,4.664363836692845
5,80,20.768825511393175,19.771651227334235,4.900202053594119,4.547931058697735,20.89622869539154,19.81855402973784,4.930305486049728,4.590511324627871
5,20,20.7955544420496,19.8126025866929,4.904098563029913,4.528420145775618,20.924461500821515,19.883765299447965,4.9356460537791325,4.5815553961017725
5,40,20.81175465976001,19.76697463530898,4.913493706354522,4.548280214226546,20.863141512345464,19.774730613304843,4.926085101295125,4.568515795287247
15,60,20.837684739683205,19.93122465655771,4.902608119089018,4.5634203624498655,21.154021783891647,20.218071774981563,4.972776632088352,4.643655796516787
