Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.663624254000002,19.060378926000002,4.643603547,4.3562220696,20.248175886,19.44814357,4.8105580230000005,4.5539974066
35,20,19.848862318,19.14710498,4.677609249,4.402677099,20.46250211,19.505230808,4.8456816986,4.5888534778
25,20,20.299367414,19.356308364,4.778662325200001,4.4723018388,20.558353492,19.56585441,4.868282735599999,4.543315134999999
50,60,20.305708638,19.417372612,4.766272403,4.4581043654,20.860063098,19.887526123999997,4.9059987849999995,4.6071197266
50,40,20.36752598,19.451259368,4.786809869200001,4.513251421800001,20.88277699,20.060482004,4.922217883,4.6504001696
50,80,20.395393164,19.532764326,4.799135679600001,4.4977620562,20.72223039,19.76722047,4.892097048399999,4.5967456974
35,40,20.55262113,19.599602138,4.8258959752,4.5148576296,20.954863744,20.057395374,4.9314487503999995,4.6146696162
35,60,20.575277618,19.602417273999997,4.8355072094,4.5283828463999996,20.982418532000004,20.104078534,4.9303288904,4.6154495822
50,100,20.596403524,19.634617146,4.8295799520000005,4.5483824978,20.834876952000002,19.918092891999997,4.9212536958,4.606828084199999
35,100,20.655182952,19.546778618,4.857428881000001,4.5330843642000005,20.707747252,19.749983884000002,4.9003553408,4.5633758708
35,80,20.667334036,19.779290808000002,4.8508641572,4.533038704000001,20.873720378,19.978843596,4.926639482600001,4.5825802202
5,80,20.675253064,19.649153572,4.882345969,4.5030403256,20.615331903999998,19.37877021,4.8899453732,4.5417545424
15,40,20.702237004,19.757339186,4.8625332148,4.536694469,20.796593708,19.875608141999997,4.916492393,4.5697226246
25,60,20.742794531999998,19.815240512,4.8781578512,4.5633660202,20.896529202,19.906346390000003,4.9350822238,4.5986870581999995
5,100,20.770501676000002,19.679659828,4.8981363528,4.5471743866,20.523620252,19.33704316,4.8744145134,4.4986532766
15,100,20.777198851999998,19.736101472,4.8848327506,4.552825599,20.797217156000002,19.780114438,4.9101620666,4.5832150872
25,100,20.782484880000002,19.78652661,4.8885577516,4.5704746067999995,20.778310708,19.799185674,4.9165329386,4.5688890134
25,40,20.797872558,19.922138976,4.874695109,4.573880618,21.016006798,20.102964312,4.945512233800001,4.6103658478
15,80,20.818727422000002,19.777228553999997,4.890515548600001,4.551263689,20.790241968,19.753118748,4.909606338000001,4.575275447199999
5,20,20.829865688,19.672285543999998,4.907387374400001,4.5719759224,20.765825798,19.678333584,4.9076991406,4.5422130981999995
15,60,20.877897739999998,19.957826914,4.9026961799999995,4.5780597794,20.861707803999998,19.913457823999998,4.927776847,4.565362223999999
5,60,20.881932413999998,19.84395057,4.9145400778,4.5485942392,20.7277633,19.737602497999998,4.9069825719999995,4.5201508428
5,40,20.906236514,19.865406206,4.922409102,4.567264667000001,20.818973536,19.78805191,4.931010318,4.61577155
25,80,21.021634080000002,20.177160645999997,4.9237919614,4.5939398548,21.197198236,20.336971352,4.9835561728,4.6300699088
15,20,21.311405518,20.529650496,4.9727530536,4.6459302636,21.48554502,20.660039714,5.0313321974,4.6746847884
