Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.069051769999998,18.48903453,4.4813726722,4.1516515925999995,19.721394622000002,18.887007136,4.710770286200001,4.4370703726
35,20,19.551103683999997,18.913932578,4.5909660414,4.2817381322,20.056965310000002,19.094805588,4.7730197862,4.5192503212
50,40,19.79594577,19.135871704000003,4.641918424799999,4.3701807664,20.385642272000002,19.499803722,4.822238458799999,4.5861460548
25,20,19.95957869,19.227722706,4.662474276199999,4.4300677158,20.363874000000003,19.431634756,4.8135935498,4.5575970562
50,80,20.230686046,19.375527678,4.7408460894,4.463211772799999,20.609556536,19.614207584,4.870490008599999,4.6132152612
50,60,20.270173906000004,19.379774946,4.7371193428,4.4733243658,20.836063786,19.860258714,4.9082439798,4.661930440400001
35,80,20.357818406,19.498602592,4.7765006038,4.5192010108,20.660404818,19.602341373999998,4.8750203528,4.6482013912
35,40,20.367789205999998,19.497539856,4.759634289799999,4.4949876026,20.750803679999997,19.738783822,4.8861241422,4.6288648498
25,40,20.416747824,19.508231526,4.7855647994,4.565184213,20.667140552,19.569952026,4.8801292028,4.6255247288
50,100,20.482660854,19.564048351999997,4.789887675600001,4.5450512234,20.723129328,19.636131388000003,4.8925501832,4.6339041048
25,60,20.484455618000002,19.574483218,4.8117079348,4.5857421416,20.766077464,19.700417798,4.9017425679999995,4.6381155484
15,20,20.484769351999997,19.544017898,4.803691646399999,4.5658216868,20.710548428000003,19.760422408,4.886644725400001,4.6150938236000005
15,40,20.487173722,19.525646612,4.8135484014,4.5744959514,20.570966568,19.488974702,4.8689019734,4.6378346022
35,100,20.511623198,19.655421429999997,4.8056596852,4.555781311199999,20.793871268,19.820254639999998,4.9081787666,4.6576332178
35,60,20.521407662,19.575368419999997,4.7985785852,4.5227971922,20.929671482,19.891045666000004,4.9227160472,4.6232193768
15,80,20.560443648,19.695204296,4.8458478303999994,4.6058844648,20.608318322000002,19.615303014000002,4.8753679898,4.6431509576
25,100,20.565857368000003,19.674509464000003,4.8288363487999995,4.5719584186,20.685140060000002,19.599854698,4.8850944318,4.631748751
5,100,20.567381118,19.578957956,4.8530311708,4.5845926366,20.433033144,19.38078114,4.84584659,4.5869179286
5,80,20.601418048,19.622397536,4.8605642496,4.630787588999999,20.503302820000002,19.366516108000003,4.8548953028,4.6133686086
25,80,20.641390293999997,19.749772630000002,4.8446362910000005,4.584776869200001,20.789588830000003,19.715734255999998,4.909663082600001,4.673995451
5,20,20.661252452000003,19.808349056,4.8672873978,4.601899466800001,20.591795638,19.591054166,4.878690690800001,4.6297076724
5,40,20.663606612,19.70131477,4.8672431248,4.6303642400000005,20.60120398,19.538379812,4.879153261800001,4.631425963
15,100,20.678635563999997,19.88727505,4.86564,4.6404410346,20.70760385,19.631192757999997,4.8934644149999995,4.6474609514
5,60,20.723536518000003,19.898671242,4.8841062456,4.602627591,20.582855896,19.514889044,4.8755911015999995,4.6435500928
15,60,20.841289392,19.944136395999998,4.8780424166000005,4.6110954112,20.940525344,19.933979528000002,4.9380071037999995,4.657868947
