Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.306859638,18.657963006000003,4.565181982,4.275596096,19.946309378000002,19.302701891999998,4.745909919800001,4.475776858000001
35,20,19.498073036,19.03988208,4.6216469026,4.4155411776,19.892105594000004,19.29180375,4.7361423754,4.455594993
50,40,19.551976265999997,18.977041474,4.6394293176,4.3859150414,19.904216897999998,19.1155539,4.750488188599999,4.468800515400001
50,60,19.783271032,19.323447390000002,4.6730403862,4.419074606000001,19.977094349999998,19.268595382,4.75275754,4.469873658999999
25,20,19.918055364,19.212838388,4.6963214202,4.4530854984,20.252659388,19.504346771999998,4.8186073676,4.5748690904
50,80,19.956913074,19.365722158,4.7133862828,4.465425093,20.158989294,19.232865916,4.7814740484,4.522807789
25,80,19.965231998,19.26224559,4.7264132522,4.483503396,20.151712568,19.236167023999997,4.791979571200001,4.5568657446000005
25,40,20.022182190000002,19.378245116,4.7346736346,4.4808147707999995,20.140899511999997,19.222297790000002,4.789500383400001,4.530857323799999
50,100,20.02244001,19.327666561999997,4.7219450576,4.4750319116,20.129898396,19.23540723,4.772616217,4.4480445202
35,100,20.059460938,19.2376458,4.7352257334,4.5086164316,20.324598952000002,19.44046898,4.8079582858,4.5725451738
35,60,20.072060368000002,19.459476438000003,4.7338423542,4.496919824000001,20.134670879999998,19.317263544000003,4.784279679399999,4.5177027312
35,40,20.13542511,19.565704912,4.748407987399999,4.5169507604,20.326037788,19.526901916,4.833955609999999,4.5819081568
25,60,20.187616650000002,19.528081473999997,4.7495205532,4.5237403238,20.240341296,19.348767276,4.8021927214,4.501896401000001
15,20,20.226021592000002,19.541292325999997,4.7658405814,4.5201537924,20.304596007999997,19.415250632000003,4.8026831936,4.524822841000001
15,100,20.348964267999996,19.55817174,4.7771204452,4.5373490283999995,20.363140868,19.386458032,4.8152712686,4.5408521786
5,40,20.369293448,19.491822602,4.8047273784,4.5176560786,20.372786549999997,19.545031202,4.8073351744,4.5564996394
25,100,20.370687964000002,19.565205916,4.7843901132,4.537938840800001,20.478878828,19.425520162,4.829594048399999,4.572758336400001
15,40,20.4092929,19.503805162,4.8045010084,4.5906203662000005,20.479200584,19.589295692,4.8337839616,4.5912989416
5,80,20.418300928,19.49184164,4.8049062786,4.5463072688,20.285752723999998,19.431861676,4.8102616136,4.4834045148
5,60,20.4768702,19.538789488,4.8206914838,4.530946908200001,20.267084688,19.322911268,4.8057864688,4.5191211846
35,80,20.481891257999997,19.744528494,4.8054695473999995,4.542569715999999,20.85306953,20.035951934,4.8952613836,4.6214138102
5,100,20.503559545999998,19.517928034,4.8190777676,4.5238577831999995,20.201899744,19.269274532,4.793972201,4.4610961568
15,60,20.507270998,19.525507442,4.805814312000001,4.5899961648000005,20.541120581999998,19.689800506,4.8368344776,4.589643591
15,80,20.51386205,19.52383591,4.8148057406,4.5865369368,20.512593858,19.657524455999997,4.8327773838,4.6021640256000005
5,20,20.63655663,19.789734484,4.8279502874,4.561739918,20.540642984,19.565778218,4.843198246999999,4.561439504
